# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,209.989635,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
164,216.412176,['1_train', '1_test'],[1.0, -0.0016293441876769066, -0.0016293441876769066, 0.9999998211860657]
165,216.456084,['1_train', '1_test'],[1.0, -0.00023710494861006737, -0.00023710494861006737, 1.0]
166,216.500282,['1_train', '1_test'],[1.0, 0.0006244238466024399, 0.0006244238466024399, 1.000000238418579]
167,216.544560,['1_train', '1_test'],[1.0, 0.0007828390225768089, 0.0007828390225768089, 1.000000238418579]
168,216.588165,['1_train', '1_test'],[1.0, 0.001056084525771439, 0.001056084525771439, 1.0]
169,216.631873,['1_train', '1_test'],[1.0, 0.002002001041546464, 0.002002001041546464, 1.0000003576278687]
170,216.676975,['1_train', '1_test'],[1.0, 0.0012769121676683426, 0.0012769121676683426, 0.9999998211860657]
171,216.722776,['1_train', '1_test'],[1.0, 0.003775479504838586, 0.003775479504838586, 0.9999998211860657]
172,216.767772,['1_train', '1_test'],[1.0, 0.003801904618740082, 0.003801904618740082, 1.000000238418579]
173,216.814567,['1_train', '1_test'],[1.0, 0.005066170822829008, 0.005066170822829008, 0.9999999403953552]
174,216.859633,['1_train', '1_test'],[1.0, 0.005539610981941223, 0.005539610981941223, 1.0]
175,216.904945,['1_train', '1_test'],[1.0, 0.004571751691401005, 0.004571751691401005, 1.000000238418579]
176,216.949048,['1_train', '1_test'],[1.0, 0.005625503603368998, 0.005625503603368998, 1.0000001192092896]
177,216.992002,['1_train', '1_test'],[1.0, 0.006402476690709591, 0.006402476690709591, 1.0000001192092896]
178,217.036275,['1_train', '1_test'],[1.0, 0.0058004106394946575, 0.0058004106394946575, 1.0000001192092896]
179,217.105315,['1_train', '1_test'],[1.0, 0.005921399220824242, 0.005921399220824242, 1.0000001192092896]
180,217.152667,['1_train', '1_test'],[1.0, 0.0046995580196380615, 0.0046995580196380615, 0.9999995827674866]
181,217.200692,['1_train', '1_test'],[1.0, 0.0076116942800581455, 0.0076116942800581455, 1.0]
182,217.248770,['1_train', '1_test'],[1.0, 0.012161019258201122, 0.012161019258201122, 0.9999999403953552]
183,217.295938,['1_train', '1_test'],[1.0, 0.014379642903804779, 0.014379642903804779, 1.0]
184,217.341691,['1_train', '1_test'],[1.0, 0.01449156180024147, 0.01449156180024147, 1.0]
185,217.390544,['1_train', '1_test'],[1.0, 0.018878482282161713, 0.018878482282161713, 1.0]
186,217.438751,['1_train', '1_test'],[1.0, 0.02125859446823597, 0.02125859446823597, 1.0000001192092896]
187,217.486999,['1_train', '1_test'],[1.0, 0.021005598828196526, 0.021005598828196526, 1.0]
188,217.535658,['1_train', '1_test'],[1.0, 0.022797979414463043, 0.022797979414463043, 1.0]
189,217.583982,['1_train', '1_test'],[1.0, 0.022493381053209305, 0.022493381053209305, 1.0]
190,217.632502,['1_train', '1_test'],[1.0, 0.023565173149108887, 0.023565173149108887, 1.0000001192092896]
191,217.680761,['1_train', '1_test'],[1.0, 0.024882104247808456, 0.024882104247808456, 0.9999998807907104]
192,217.727813,['1_train', '1_test'],[1.0, 0.025437016040086746, 0.025437016040086746, 1.0]
193,217.773980,['1_train', '1_test'],[1.0, 0.026146024465560913, 0.026146024465560913, 0.9999998807907104]
194,217.821591,['1_train', '1_test'],[1.0, 0.027332399040460587, 0.027332399040460587, 0.9999998807907104]
195,217.869418,['1_train', '1_test'],[1.0, 0.02868783473968506, 0.02868783473968506, 1.0000001192092896]
196,217.917147,['1_train', '1_test'],[1.0, 0.030461501330137253, 0.030461501330137253, 1.0]
197,217.965446,['1_train', '1_test'],[1.0, 0.032058581709861755, 0.032058581709861755, 1.000000238418579]
198,218.012351,['1_train', '1_test'],[1.0, 0.032210443168878555, 0.032210443168878555, 1.000000238418579]
199,218.057607,['1_train', '1_test'],[1.0, 0.03466683626174927, 0.03466683626174927, 0.9999998807907104]
200,218.102024,['1_train', '1_test'],[1.0, 0.03526706621050835, 0.03526706621050835, 1.0000001192092896]
201,218.148728,['1_train', '1_test'],[1.0, 0.03456485643982887, 0.03456485643982887, 1.0]
202,218.195355,['1_train', '1_test'],[1.0, 0.03680002689361572, 0.03680002689361572, 1.0]
203,218.243446,['1_train', '1_test'],[1.0, 0.037003085017204285, 0.037003085017204285, 0.9999999403953552]
204,218.292022,['1_train', '1_test'],[1.0, 0.037223201245069504, 0.037223201245069504, 1.0000001192092896]
205,218.340549,['1_train', '1_test'],[1.0, 0.036241814494132996, 0.036241814494132996, 0.9999999403953552]
206,218.389618,['1_train', '1_test'],[1.0, 0.03736794367432594, 0.03736794367432594, 0.9999998807907104]
207,218.437785,['1_train', '1_test'],[1.0, 0.03812434896826744, 0.03812434896826744, 0.9999998807907104]
208,218.486495,['1_train', '1_test'],[1.0, 0.0387042872607708, 0.0387042872607708, 0.9999998211860657]
209,218.535168,['1_train', '1_test'],[1.0, 0.041384488344192505, 0.041384488344192505, 0.9999998807907104]
210,218.583648,['1_train', '1_test'],[1.0, 0.040953222662210464, 0.040953222662210464, 1.0]
211,218.632156,['1_train', '1_test'],[1.0, 0.038206443190574646, 0.038206443190574646, 0.9999998807907104]
212,218.677780,['1_train', '1_test'],[1.0, 0.04062049090862274, 0.04062049090862274, 0.9999998807907104]
213,218.725967,['1_train', '1_test'],[1.0, 0.043658483773469925, 0.043658483773469925, 1.0]
214,218.773488,['1_train', '1_test'],[1.0, 0.04596346244215965, 0.04596346244215965, 1.0]
215,218.821413,['1_train', '1_test'],[1.0, 0.04878193885087967, 0.04878193885087967, 1.000000238418579]
216,218.868316,['1_train', '1_test'],[1.0, 0.05088214948773384, 0.05088214948773384, 0.9999998211860657]
217,218.916258,['1_train', '1_test'],[1.0, 0.049004919826984406, 0.049004919826984406, 1.0000003576278687]
218,218.961210,['1_train', '1_test'],[1.0, 0.051599130034446716, 0.051599130034446716, 1.0000001192092896]
219,219.009424,['1_train', '1_test'],[1.0, 0.04902734234929085, 0.04902734234929085, 1.0000001192092896]
220,219.056832,['1_train', '1_test'],[1.0, 0.04856050759553909, 0.04856050759553909, 1.0000001192092896]
221,219.104217,['1_train', '1_test'],[1.0, 0.04880175739526749, 0.04880175739526749, 1.0000001192092896]
222,219.152863,['1_train', '1_test'],[1.0, 0.050330765545368195, 0.050330765545368195, 1.0]
223,219.200483,['1_train', '1_test'],[1.0, 0.04812299460172653, 0.04812299460172653, 1.0]
224,219.248979,['1_train', '1_test'],[1.0, 0.046345971524715424, 0.046345971524715424, 1.0000001192092896]
225,219.297415,['1_train', '1_test'],[1.0, 0.04347636178135872, 0.04347636178135872, 0.9999998807907104]
226,219.344456,['1_train', '1_test'],[1.0, 0.04402359575033188, 0.04402359575033188, 0.9999998807907104]
227,219.390812,['1_train', '1_test'],[1.0, 0.044173337519168854, 0.044173337519168854, 1.0]
228,219.439439,['1_train', '1_test'],[1.0, 0.043255843222141266, 0.043255843222141266, 1.0000001192092896]
229,219.486928,['1_train', '1_test'],[1.0, 0.04304136335849762, 0.04304136335849762, 1.000000238418579]
230,219.535014,['1_train', '1_test'],[1.0, 0.04290863871574402, 0.04290863871574402, 0.9999999403953552]
231,219.583688,['1_train', '1_test'],[1.0, 0.040393196046352386, 0.040393196046352386, 0.9999999403953552]
232,219.632064,['1_train', '1_test'],[1.0, 0.04073126241564751, 0.04073126241564751, 0.9999998807907104]
233,219.680561,['1_train', '1_test'],[1.0, 0.0384468138217926, 0.0384468138217926, 1.0000001192092896]
234,219.725481,['1_train', '1_test'],[1.0, 0.03861086815595627, 0.03861086815595627, 1.0]
235,219.774411,['1_train', '1_test'],[1.0, 0.03729405254125595, 0.03729405254125595, 0.9999998807907104]
236,219.822504,['1_train', '1_test'],[1.0, 0.03547041863203049, 0.03547041863203049, 1.0000001192092896]
237,219.871236,['1_train', '1_test'],[1.0, 0.03532612323760986, 0.03532612323760986, 0.9999997615814209]
238,219.920149,['1_train', '1_test'],[1.0, 0.03512577712535858, 0.03512577712535858, 1.0]
239,219.967999,['1_train', '1_test'],[1.0, 0.03517035394906998, 0.03517035394906998, 1.000000238418579]
240,220.061011,['1_train', '1_test'],[1.0, 0.034925103187561035, 0.034925103187561035, 1.0000001192092896]
241,220.109068,['1_train', '1_test'],[1.0, 0.03325831517577171, 0.03325831517577171, 1.0000001192092896]
242,220.157868,['1_train', '1_test'],[1.0, 0.03266926109790802, 0.03266926109790802, 1.0000001192092896]
243,220.206149,['1_train', '1_test'],[1.0, 0.033844947814941406, 0.033844947814941406, 0.9999998807907104]
244,220.254900,['1_train', '1_test'],[1.0, 0.030419422313570976, 0.030419422313570976, 1.0]
245,220.303257,['1_train', '1_test'],[1.0, 0.029040813446044922, 0.029040813446044922, 0.9999998211860657]
246,220.396266,['1_train', '1_test'],[1.0, 0.0264356080442667, 0.0264356080442667, 1.0]
247,220.441192,['1_train', '1_test'],[1.0, 0.024768516421318054, 0.024768516421318054, 1.0000001192092896]
248,220.486620,['1_train', '1_test'],[1.0, 0.0242120623588562, 0.0242120623588562, 1.000000238418579]
