# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,170.886179,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
30,170.986848,['1_train', '1_test'],[1.0, -0.051071494817733765, -0.051071494817733765, 1.0000001192092896]
31,170.995716,['1_train', '1_test'],[1.0, -0.05209328979253769, -0.05209328979253769, 1.0000001192092896]
32,170.997383,['1_train', '1_test'],[1.0, -0.05283595994114876, -0.05283595994114876, 1.0]
33,171.000904,['1_train', '1_test'],[1.0, -0.052233632653951645, -0.052233632653951645, 0.9999998807907104]
34,171.006798,['1_train', '1_test'],[1.0, -0.05090930685400963, -0.05090930685400963, 1.0000001192092896]
35,171.011756,['1_train', '1_test'],[1.0, -0.04878104478120804, -0.04878104478120804, 1.000000238418579]
36,171.013206,['1_train', '1_test'],[1.0, -0.047449611127376556, -0.047449611127376556, 1.0000001192092896]
37,171.014706,['1_train', '1_test'],[1.0, -0.047172971069812775, -0.047172971069812775, 1.000000238418579]
38,171.019570,['1_train', '1_test'],[1.0, -0.049597058445215225, -0.049597058445215225, 1.0000001192092896]
39,171.024231,['1_train', '1_test'],[1.0, -0.049166951328516006, -0.049166951328516006, 1.000000238418579]
40,171.026053,['1_train', '1_test'],[1.0, -0.05206505209207535, -0.05206505209207535, 1.000000238418579]
41,171.027537,['1_train', '1_test'],[1.0, -0.05154431238770485, -0.05154431238770485, 0.9999999403953552]
42,171.029114,['1_train', '1_test'],[1.0, -0.05275385081768036, -0.05275385081768036, 0.9999998807907104]
43,171.034435,['1_train', '1_test'],[1.0, -0.053952138870954514, -0.053952138870954514, 1.0000001192092896]
44,171.038448,['1_train', '1_test'],[1.0, -0.053678736090660095, -0.053678736090660095, 1.0]
45,171.043353,['1_train', '1_test'],[1.0, -0.05395553261041641, -0.05395553261041641, 1.0]
46,171.147611,['1_train', '1_test'],[1.0, -0.05356524512171745, -0.05356524512171745, 1.0]
47,171.192885,['1_train', '1_test'],[1.0, -0.05293096974492073, -0.05293096974492073, 1.000000238418579]
48,171.238199,['1_train', '1_test'],[1.0, -0.053070373833179474, -0.053070373833179474, 1.0]
49,171.417839,['1_train', '1_test'],[1.0, -0.05035105720162392, -0.05035105720162392, 1.0000001192092896]
50,171.462445,['1_train', '1_test'],[1.0, -0.051271986216306686, -0.051271986216306686, 0.9999999403953552]
51,171.506696,['1_train', '1_test'],[1.0, -0.0524774007499218, -0.0524774007499218, 1.000000238418579]
